1476581129.847534,-0.378616,-0.195618,0.337921,JOGGING
1476581129.857680,-0.253998,-0.171143,0.246887,JOGGING
1476581129.867428,-0.159515,-0.151276,0.177231,JOGGING
1476581129.877467,-0.092316,-0.135757,0.120117,JOGGING
1476581129.888640,-0.042923,-0.121048,0.078674,JOGGING
1476581129.897383,-0.007706,-0.106033,0.058105,JOGGING
1476581129.907774,0.006439,-0.092819,0.075165,JOGGING
1476581129.917282,0.004669,-0.113342,0.177948,JOGGING
1476581129.927301,-0.013504,-0.246613,0.408554,JOGGING
1476581129.937199,-0.111084,-0.498581,0.794861,JOGGING
1476581129.947215,-0.245560,-0.875336,1.318726,JOGGING
1476581129.957420,-0.233643,-1.142471,1.856400,JOGGING
1476581129.967217,-0.390564,-1.216873,2.199783,JOGGING
1476581129.977184,-1.007843,-0.907272,1.852417,JOGGING
1476581129.987061,-1.587830,-0.474457,1.168869,JOGGING
1476581129.997116,-2.127808,0.077942,0.910583,JOGGING
1476581130.007715,-2.585052,0.560730,0.969193,JOGGING
1476581130.017045,-2.168625,0.488510,0.519394,JOGGING
1476581130.027004,-1.590698,0.203674,0.175888,JOGGING
1476581130.036935,-1.094345,0.008850,0.329926,JOGGING
1476581130.046938,-0.761765,-0.115814,0.671249,JOGGING
1476581130.057144,-0.604080,-0.208496,0.893936,JOGGING
1476581130.066869,-0.513489,-0.342926,0.916733,JOGGING
1476581130.076877,-0.521805,-0.498123,0.809784,JOGGING
1476581130.090252,-0.548630,-0.612976,0.727798,JOGGING
1476581130.096828,-0.528397,-0.647507,0.710922,JOGGING
1476581130.106901,-0.492111,-0.600067,0.694611,JOGGING
1476581130.116722,-0.489960,-0.473083,0.678741,JOGGING
1476581130.126684,-0.560516,-0.303894,0.700668,JOGGING
1476581130.136651,-0.751129,-0.136322,0.723770,JOGGING
1476581130.146582,-1.067841,-0.086533,0.669189,JOGGING
1476581130.156603,-1.313248,-0.161957,0.563263,JOGGING
1476581130.166585,-1.320557,-0.178101,0.455170,JOGGING
1476581130.176501,-1.087189,-0.124390,0.342575,JOGGING
1476581130.186470,-0.751923,-0.091217,0.227890,JOGGING
1476581130.196494,-0.467972,-0.068039,0.169556,JOGGING
1476581130.206549,-0.275497,-0.035812,0.162460,JOGGING
1476581130.216395,-0.154770,0.001129,0.175125,JOGGING
1476581130.226399,-0.090469,0.018417,0.176544,JOGGING
1476581130.236359,-0.050812,0.015121,0.194839,JOGGING
1476581130.246337,-0.019928,-0.011063,0.229828,JOGGING
1476581130.256268,0.010681,-0.058670,0.329849,JOGGING
1476581130.266266,0.032257,-0.138367,0.539551,JOGGING
1476581130.276122,0.072250,-0.290375,0.906006,JOGGING
1476581130.286234,0.096542,-0.547379,1.360443,JOGGING
1476581130.296207,0.068039,-0.833298,1.760101,JOGGING
1476581130.306241,-0.190704,-1.013214,1.722595,JOGGING
1476581130.316131,-0.612778,-1.025131,1.190475,JOGGING
1476581130.326100,-0.763931,-1.000580,0.419220,JOGGING
1476581130.336051,-0.827805,-1.018250,-0.102921,JOGGING
1476581130.346020,-1.078049,-0.884674,-0.102615,JOGGING
1476581130.356008,-1.587448,-0.553436,0.504395,JOGGING
1476581130.366087,-2.111649,-0.119080,1.101639,JOGGING
1476581130.375925,-2.022110,-0.057938,0.947586,JOGGING
1476581130.385910,-1.709045,-0.248749,0.734085,JOGGING
1476581130.395928,-1.368881,-0.277756,0.793411,JOGGING
